,Relative,Absolute,ROI
rACC,0.11649898766859688,0.049235710367200085,rACC
dACC,0.10970871164555242,0.04252461054633001,dACC
vlPFC,0.10876791439839645,0.04054453613109604,vlPFC
vmPFC,0.1074239008000396,0.04375484366185544,vmPFC
OFCant,0.11186940949386764,0.04488974670939864,OFCant
OFClat,0.10020553415378321,0.03454128612329758,OFClat
OFCmed,0.10715748520266988,0.039801709847608974,OFCmed
OFCpost,0.09242055254501065,0.027212239257615012,OFCpost
dmPFC,0.11539200546876897,0.052024843134349075,dmPFC
dlPFC,0.11549101049807521,0.05128656497585595,dlPFC
MFG,0.11554516492573264,0.05158439366958293,MFG
IFG,0.10914005236006318,0.043074445839415956,IFG
V1,0.11054838938753953,0.044063186280400526,V1
Fusiform,0.0998248086741325,0.03484034105755463,Fusiform
