,MC_adjr2,MC_tval,MC_bic,MC_corr,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update_adjr2,RW Update_tval,RW Update_bic,RW Update_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,ROI
rACC,0.04151783944095533,-62.213504758491524,3734795.039187799,-0.10128236357631085,0.042223912229356286,-63.91750628653176,3734583.039548255,-0.10642086947758005,0.0428370205662616,65.37085659494088,3734410.395418939,0.10534961006537148,0.03772957189057513,52.1897771896435,3735941.3829458463,0.07900373534297096,rACC
dACC,0.04134678614194853,-61.376149345678186,3719073.743591832,-0.09886953685775571,0.042112244407970456,-63.2449691867727,3718843.947256467,-0.10435094126571143,0.042744498398394004,64.75791810927001,3718665.5709033427,0.10481525093718704,0.03777294538061515,51.822641073488086,3720155.784571254,0.07891416007477259,dACC
vlPFC,0.03969427363974298,-58.00908955045132,3899682.7542870566,-0.09466109936242909,0.04051597436404086,-60.119054798805685,3899436.4909881144,-0.1004593004984851,0.04445344652082783,69.39465775996776,3898265.067877988,0.11203163779024708,0.038102090518851606,53.70586530030392,3900170.9012020165,0.08124600220692052,vlPFC
vmPFC,0.038592897123071346,-59.81651029611957,3854078.250105926,-0.09834479936191469,0.03942669290744605,-61.89368324247719,3853828.646743631,-0.10402983685258886,0.04263677644278985,69.34895374777076,3852877.2254415345,0.11243403622790633,0.0368245711620544,55.17521498975452,3854618.466439465,0.084415168021186,vmPFC
OFCant,0.03989236483457548,-56.240498402578126,3654535.9945051107,-0.09141151036045252,0.0406338525044635,-58.20464240882955,3654313.734440492,-0.09696859702280541,0.046593002393480076,72.16681796796824,3652532.7926681787,0.11664161731184695,0.040259257869151965,57.22925487988149,3654437.6097859284,0.08720774420593458,OFCant
OFClat,0.03815840811902338,-58.41480079524793,3405706.3541668504,-0.09513490646816562,0.03880026280860127,-60.05552928049849,3405514.315897924,-0.1000858552710074,0.038648105624534135,59.67894618230478,3405571.421396048,0.09564940804494002,0.03435968069359785,47.6255191339301,3406851.8584544375,0.07133151931150797,OFClat
OFCmed,0.04111621267800247,-59.55348891215217,3732133.648556091,-0.09692879323243792,0.04199314236859131,-61.75105874349977,3731870.4356788704,-0.10292565589065425,0.04628212517112262,71.58958149698744,3730591.174394172,0.11586026033705901,0.04007575978364364,56.850478440661526,3732457.20090011,0.08677911969016783,OFCmed
OFCpost,0.03858359201377248,-55.884476116514435,3817868.1146821813,-0.09081821641969774,0.03952438103980416,-58.377327284381856,3817586.4690904086,-0.09728916803446994,0.043247851084340816,67.39257486700268,3816480.6240063165,0.10867032676108915,0.03784279097062104,53.853397091614184,3818101.265230835,0.0817128792100229,OFCpost
dmPFC,0.03649528998359253,-57.482050484116584,4157359.6391815958,-0.09494095653048555,0.03716332861104832,-59.21211278516428,4157160.109272821,-0.09994147343150799,0.042855525459903454,72.37930790087405,4155465.895446929,0.1178759666389895,0.036202428881813464,56.7166633965634,4157458.636957231,0.0872743988591932,dmPFC
dlPFC,0.036508963184590404,-56.12943456774303,4276307.216475108,-0.09271086964783018,0.03721688707192783,-58.00305373389718,4276095.766248145,-0.09796273768087256,0.04359724833940981,72.84886160829853,4274194.536106625,0.11836326798813364,0.03674270295549875,56.76350121248275,4276248.987360167,0.08699151334376068,dlPFC
MFG,0.03520663052116113,-54.58128743708813,4250306.283431689,-0.09027753079569382,0.0358031996852497,-56.20454475729146,4250128.344709881,-0.0950483351617886,0.043027349033316065,73.18103351367081,4247976.385111965,0.119085553297818,0.03580014717752411,56.20534764897548,4250140.8250397025,0.086151641769685,MFG
IFG,0.036681830922823844,-55.518122066522764,3952451.410658501,-0.09132097265147196,0.037372693324785766,-57.36666077706137,3952245.0213221223,-0.09655143045122971,0.04250486017611732,69.65289576455959,3950718.7459794427,0.11271566781647352,0.03605341664284778,53.79332677519844,3952650.585210029,0.08168827815366574,IFG
