,Subtract Mean_adjr2,Subtract Mean_tval,Subtract Mean_bic,Subtract Mean_corr,Subtract Median_adjr2,Subtract Median_tval,Subtract Median_bic,Subtract Median_corr,Z-score_adjr2,Z-score_tval,Z-score_bic,Z-score_corr,ROI
rACC,0.03334550289202198,37.46614953481988,3737214.3571752766,0.04526828601955392,0.033267025342655465,37.15165540545579,3737237.7114399998,0.04277120123848335,0.04024855231987112,59.01628746688722,3735152.6133722323,0.08993364892263181,rACC
dACC,0.03287893293695476,34.8315207403916,3721580.545482706,0.04080361520252102,0.03278509828558407,34.426853705705305,3721608.4562003505,0.03814549241519534,0.03955726975125606,56.76256323392156,3719587.115615628,0.0864451282925263,dACC
vlPFC,0.03414648555984956,41.12579575094746,3901316.79076262,0.051637560980019925,0.0339500973501774,40.4042796889185,3901375.2791527263,0.048405696426786236,0.042007529827765344,63.763611167296546,3898965.7940412275,0.09794561892563697,vlPFC
vmPFC,0.03212578823307366,40.37225655336327,3855983.771980056,0.05105969900970997,0.032055705859426076,40.111999010453594,3856004.601719206,0.04871781989061549,0.03944162367563875,61.913911857439146,3853801.035959403,0.09525704637550261,vmPFC
OFCant,0.035404132946164735,42.517311156839945,3655854.544475359,0.053735411813822936,0.03530078563507699,42.15103484874203,3655885.3650115933,0.0511114730474457,0.04324816626738326,64.66124907203195,3653505.5848965347,0.0991890461765136,OFCant
OFClat,0.030384626029012263,32.810392996550576,3407998.952546923,0.037627244070489,0.030412473101189774,32.93652966968612,3407990.690342157,0.03599756754955915,0.03577327623633053,51.867431786093405,3406395.7079948355,0.07772451253980013,OFClat
OFCmed,0.035461293448496356,42.86285805189133,3733802.089743412,0.05450490091304973,0.035351962091998756,42.478369091833216,3733834.6966901077,0.051848071050013884,0.04349321940003714,65.33223305190245,3731396.4851522916,0.10061437189725717,OFCmed
OFCpost,0.03308156441663623,38.29288070064255,3819486.6277420823,0.046729142771794595,0.03297248453992596,37.86462486217333,3819519.079630356,0.0440410614682943,0.04023970327704518,60.18999205137701,3817348.9980192706,0.09179592283123905,OFCpost
dmPFC,0.032639868851934484,46.28683903576638,4158485.341717187,0.06209517833634069,0.03250566216486561,45.85050953572324,4158525.250227534,0.05946318607528072,0.04055769522265429,67.3364599296039,4156120.9964482733,0.10505653058911513,dmPFC
dlPFC,0.03279311736720003,45.068799477881434,4277391.423863452,0.05955824574049287,0.03261318722215445,44.466981822798864,4277444.9361894755,0.056615184951469055,0.04087379538660885,66.87288986344876,4274977.860909469,0.10386084420392233,dlPFC
MFG,0.03272278547775598,47.23069506260101,4251022.820073938,0.06374029851457257,0.03248352381399977,46.46554006282696,4251093.970601367,0.060524246047888704,0.04059336332545671,67.8896613570161,4248672.439207214,0.10585334234266595,MFG
IFG,0.03276861195016734,43.63375566967544,3953594.526325349,0.05686831767356893,0.03259330640893765,43.02824083583106,3953646.6620697216,0.053908057767929604,0.040005863698450383,63.92962181267461,3951433.88415493,0.09861646648222568,IFG
