,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,Advanced Fractional Model_corr,ROI
rACC,0.08296479698816817,122.53443080842176,3543545.535165589,0.2283324508331957,rACC
dACC,0.0823288930075673,122.24713832803177,3520352.720511615,0.22768479076707263,dACC
vlPFC,0.08402520987572093,123.51016775284947,3648175.167614317,0.2298650733462457,vlPFC
vmPFC,0.08267061627057304,121.98530508747811,3595094.769449786,0.22736420277658198,vmPFC
OFCant,0.08328160529480988,122.35482063187158,3518720.9012457035,0.22788803704766306,OFCant
OFClat,0.07995820530140119,120.29007946906279,3299490.561798787,0.22407604027317904,OFClat
OFCmed,0.08377770080532587,123.6792656886649,3555900.9500480746,0.23009805973135253,OFCmed
OFCpost,0.08236650477179319,121.53773064292034,3624893.8070227834,0.2267780351053958,OFCpost
dmPFC,0.08297598832053044,123.64370328983183,3872345.9477885705,0.2296817900935039,dmPFC
dlPFC,0.0826429700245479,122.67726556617819,4009623.9826472416,0.22830536111977479,dlPFC
MFG,0.0832375147349802,122.28487787392991,3951413.1321074893,0.2276993211138331,MFG
IFG,0.08284061550222532,121.89997710153011,3672133.6180519336,0.22693894974247558,IFG
