,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,Weighted RW Update by day_adjr2,Weighted RW Update by day_tval,Weighted RW Update by day_bic,Weighted RW Update by day_corr,ROI
rACC,0.0857497859368,126.225876469,3542674.29882,0.235429880516,0.085134833266,125.42240453,3542878.46965,0.23346995603,0.0811661950321,120.111193642,3544129.92263,0.221623204503,rACC
dACC,0.0855722176822,126.543733199,3519338.55187,0.235765968338,0.08466170912,125.353563283,3519635.19055,0.233177034654,0.0806523229721,119.986861291,3520898.70023,0.221255754421,dACC
vlPFC,0.0881781704392,128.952874079,3646873.50361,0.239808627058,0.0871921417817,127.681335098,3647194.65612,0.237084384181,0.0830024905943,122.1490501,3648517.9438,0.224884957484,vlPFC
vmPFC,0.0860348252136,126.449736286,3594042.33888,0.235726724797,0.0851779458792,125.328840168,3594322.33024,0.233247889204,0.0808266210435,119.490693721,3595693.12341,0.220528871369,vmPFC
OFCant,0.0867125175656,126.8975678,3517646.84791,0.236381198527,0.0859161366242,125.858905219,3517908.08084,0.234032074497,0.0817360918357,120.272638562,3519226.54501,0.221715746745,OFCant
OFClat,0.0833512680147,124.834056985,3298432.22328,0.232573238743,0.0823649836584,123.5312873,3298751.82625,0.229798015579,0.07837957196,118.137120482,3300004.75804,0.217847188338,OFClat
OFCmed,0.0870015604354,127.91405721,3554891.28188,0.238071732285,0.0863762069041,127.105480268,3555098.97763,0.236102595241,0.082229995206,121.613428643,3556407.53903,0.223979424485,OFCmed
OFCpost,0.0862928517776,126.750800532,3623665.55236,0.236360548566,0.085304069932,125.458420586,3623986.9286,0.233605622514,0.0811063330482,119.83505891,3625310.03539,0.221242430986,OFCpost
dmPFC,0.0861811908279,127.851722254,3871343.01215,0.23760801806,0.0855870013282,127.084101633,3871540.76981,0.235705463732,0.0812585709771,121.350103546,3872905.03167,0.223215895557,dmPFC
dlPFC,0.0859562289169,127.053355085,4008587.55102,0.236516243735,0.0853076117402,126.210331877,4008802.30783,0.234490437927,0.0811304031777,120.646297462,4010119.02038,0.222253544766,dlPFC
MFG,0.08689376113,127.123636966,3950268.45155,0.236676339258,0.086017734425,125.981912523,3950554.69616,0.234158042853,0.0818633643105,120.435077752,3951865.29532,0.221906181411,MFG
IFG,0.0872473392265,127.727264226,3670754.01338,0.237527699009,0.0861031242325,126.238894611,3671124.43503,0.234444772829,0.0816719112291,120.325646003,3672521.52057,0.221598355715,IFG
