,Absolute,Relative,WTP - Ref,Subtract Mean,Divide Mean,ROI
rACC,0.14836760324534878,0.14756483692713585,0.13855528602416523,0.13522640842364003,0.2283324508333086,rACC
dACC,0.14664252223195345,0.14714568679165174,0.13803494966845592,0.13485355708263233,0.22768479076718282,dACC
vlPFC,0.14700578941239711,0.14921705457054055,0.13990428932995164,0.13691562033032723,0.229865073346358,vlPFC
vmPFC,0.14358201888119052,0.14549383455495185,0.13583892522585206,0.13298291344105115,0.22736420277669178,vmPFC
OFCant,0.14551666714147274,0.14682471844785971,0.13744827838620946,0.13445971254212163,0.2278880370477748,OFCant
OFClat,0.14409354388054801,0.1445838093438005,0.1355617054756332,0.13246607435319516,0.22407604027328887,OFClat
OFCmed,0.14810990584533018,0.1488181016687205,0.13955271063328842,0.13639913409042184,0.2300980597314659,OFCmed
OFCpost,0.14351675486140034,0.14535733509045526,0.1358066763407344,0.13294791882317875,0.22677803510550568,OFCpost
dmPFC,0.14751234171019328,0.14990710491296283,0.14057458296262393,0.13769173239387855,0.2296817900936155,dmPFC
dlPFC,0.1460632942482911,0.14849628056420006,0.13916186170066597,0.13630552795793158,0.22830536111988725,dlPFC
MFG,0.1466423096168136,0.14709130434070813,0.137908651356647,0.13479443580795117,0.22769932111394248,MFG
IFG,0.14387608793220208,0.146389577810037,0.13685175306744268,0.13410325654609037,0.22693894974258388,IFG
