,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,ROI
rACC,0.0622131136547,52.1699008397,3698420.74997,0.0934910543309,0.0641274540439,57.5799830498,3697845.72983,0.101415333015,rACC
dACC,0.0624828575737,51.5620121548,3686650.68569,0.0924031851676,0.063957889545,55.8228402685,3686210.25328,0.0984953651818,dACC
vlPFC,0.0603841342133,47.4545424976,3841141.69446,0.0859224239288,0.0621193805691,52.8035470419,3840622.63858,0.0938577466384,vlPFC
vmPFC,0.0570846771865,51.0447904815,3815418.6246,0.0920469719906,0.058901247229,56.2646005954,3814876.6223,0.0997270804121,vmPFC
OFCant,0.0638428634147,52.8355450718,3755963.62088,0.0948710450102,0.0659607812025,58.7352641993,3755325.01929,0.103570939928,OFCant
OFClat,0.041428142503,37.2616066415,3545942.72764,0.0680773557844,0.0423935540613,40.9905919196,3545665.04011,0.0736159974182,OFClat
OFCmed,0.0652390370336,50.6619830065,3742526.96259,0.0915172846023,0.0674773362339,57.1210841589,3741850.33385,0.101158489926,OFCmed
OFCpost,0.0537998887945,45.9244415728,3834992.9093,0.0829309594806,0.0552352748619,50.4915163732,3834568.6744,0.0896420631001,OFCpost
dmPFC,0.0507368955388,45.5629689279,4116233.39147,0.0824869197232,0.0521765162874,50.1612084712,4115809.28131,0.0892741443332,dmPFC
dlPFC,0.0493759272051,44.4272609493,4281107.92922,0.0804742176116,0.0508065805234,49.096073526,4280687.15528,0.0873959345421,dlPFC
MFG,0.050563316993,44.256013072,4235384.36573,0.0795892623454,0.0522243504566,49.6600306026,4234893.28193,0.0876678219178,MFG
IFG,0.0515770063266,43.4002980771,3925854.98873,0.0784331114569,0.0533180459376,49.1526410405,3925339.10809,0.0870975772782,IFG
