,Absolute_adjr2,Absolute_tval,Absolute_bic,Absolute_corr,ROI
rACC,0.06276819413708346,103.04443678231564,3162663.708096706,0.17734179019575713,rACC
dACC,0.07228749558230263,109.43593441948799,3040439.9808786544,0.18804548046574976,dACC
vlPFC,0.05053732631686658,91.87802348657742,3401427.7842464824,0.15899365110267688,vlPFC
vmPFC,0.041418132646792505,79.13435482936421,3384767.056688615,0.13707360004039462,vmPFC
OFCant,0.032171471122577344,72.60380045993735,3453113.2474844703,0.1266063804046769,OFCant
OFClat,0.035486328663203115,78.87068745008179,3284117.5927404915,0.13808620455819648,OFClat
OFCmed,0.04252849260875646,88.57364318331035,3131749.690990137,0.15419390943357517,OFCmed
OFCpost,0.061903846932157336,106.08304988137832,3263147.7215004363,0.18315643128111367,OFCpost
dmPFC,0.04057694252793054,78.33068187944892,3747296.4510831814,0.13669957529437374,dmPFC
dlPFC,0.04054610103357292,78.33935539813538,3930606.988160972,0.1363645102209281,dlPFC
MFG,0.04148155998205283,81.49605891906633,3855201.510665529,0.14270099963169794,MFG
IFG,0.053210631806464126,94.10636249195579,3533342.5854108385,0.16358905113557431,IFG
