,MC_adjr2,MC_tval,MC_bic,MC_corr,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update_adjr2,RW Update_tval,RW Update_bic,RW Update_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,ROI
rACC,0.025355961262001236,43.19270223532542,3142425.7505645836,0.12437992851188778,0.024958348235949224,41.80657781847194,3142542.835277273,0.08282275225577261,0.03134042285083616,-60.42850843099093,3140669.28653448,-0.10063280737896212,0.024276881447154786,39.33304383005956,3142754.962552141,0.09752311333781041,rACC
dACC,0.024317161795583075,40.71201729255753,3115340.3187859966,0.11971037777704854,0.023038357362883177,35.7708506669889,3115716.3165012384,0.0725223806563256,0.032340655378235605,-63.65841498017362,3112981.4903022945,-0.10655195290532118,0.023774678706066976,38.70448394060679,3115511.448780911,0.09675115278639365,dACC
vlPFC,0.024796294654006124,36.37487503568726,3187523.4582712147,0.11433954142218312,0.025280801783069795,38.294610216318105,3187380.803293846,0.07623857537447178,0.03269394612742782,-60.65179290181496,3185200.8081081435,-0.10065374137551408,0.028327503685230848,48.704768110147725,3186493.6923977463,0.11458897857490037,vlPFC
vmPFC,0.02327608970598305,35.009745071468934,3201648.6041345377,0.11049772789975887,0.024446678340911854,39.643385349814295,3201304.359599078,0.07867168856379265,0.026687647909001355,-47.29848299959778,3200655.7529972447,-0.07677840206478238,0.027405498910661463,49.5042171867323,3200443.9576223544,0.11536383071279976,vmPFC
OFCant,0.01931453617688883,27.88446558267437,3036939.027518664,0.0949874215252152,0.01901639422372603,26.269081349229474,3037026.2847724003,0.05357605394826725,0.022750724546081513,-42.3157818794101,3035943.0060149147,-0.0684811429507368,0.02420624191012488,47.132535976238756,3035515.1379749207,0.10901662370346811,OFCant
OFClat,0.017026536798824377,24.58088509026117,2858300.855683332,0.08679059052802067,0.016533280585821153,21.446313742784202,2858444.8668014756,0.04383274213671302,0.019533023092961233,-36.61427582137954,2857579.5107781906,-0.058642024892153845,0.02254039751436243,47.2008712493099,2856697.6589285904,0.10723551902303066,OFClat
OFCmed,0.02273370037756728,33.16352394181425,2954677.4017193615,0.10715505104705622,0.0227632378043805,33.29457855710871,2954668.725300844,0.06667629717283961,0.029636662872661867,-56.1311921478183,2952654.1062751077,-0.09290137050151621,0.026407600373258733,46.778172894844396,2953607.768691537,0.11000445269676525,OFCmed
OFCpost,0.02556092567465329,38.84685533161071,3094264.170617071,0.11871296625267348,0.02432586776057777,33.820080193182946,3094627.7772077867,0.06793703363048008,0.028861051082452183,-49.90680322373109,3093301.9007577263,-0.0811424767079417,0.028666625317460004,49.322735596689284,3093359.365725471,0.1155511597210267,OFCpost
dmPFC,0.02114549023547252,36.75930241721797,3598306.3363030413,0.11008209339322954,0.021152933226648907,36.78911952188354,3598304.153546981,0.07331671688196957,0.023670155309889807,-45.80434660431419,3597576.55851099,-0.07485588826583159,0.02372047392743315,45.96674356241967,3597561.7634240766,0.1074948297440348,dmPFC
dlPFC,0.02156086862837403,32.79847919551101,3789049.5558507787,0.10512857420366903,0.022438339353723524,36.529038331328174,3788792.0021301317,0.07285671598489106,0.025003707905389194,-45.76219351259491,3788049.2588463537,-0.07435477287092357,0.026633461402790104,50.77712215546728,3787569.021007219,0.11678464363212042,dlPFC
MFG,0.02220366093278281,32.193423406022255,3729781.715547295,0.1051326693001579,0.022646750773261393,34.16175047943033,3729651.6039531366,0.06896453965201904,0.025541193107274984,-44.99047984785584,3728811.775754873,-0.0726892555350056,0.028290124142654527,53.3098511711023,3728000.837398163,0.12203888767155524,MFG
IFG,0.024204450247399256,36.17966958079133,3432934.505946773,0.11333742683727416,0.024938094610378436,39.0632384181668,3432718.6001727716,0.07789614752028054,0.029092746967376293,-52.55311606855538,3431504.4128438593,-0.08612888121895645,0.02970288696896517,54.25930879206993,3431323.960535153,0.12435177389359617,IFG
