,Divisive,RW Update,ROI
rACC,0.13414237882,0.195630328809,rACC
dACC,0.14371550343,0.203208789583,dACC
vlPFC,0.0989572359178,0.153350927379,vlPFC
vmPFC,0.117731984525,0.161517475821,vmPFC
OFCant,0.112443108968,0.161887258983,OFCant
OFClat,0.0859931868127,0.134907134366,OFClat
OFCmed,0.133110399433,0.185723867653,OFCmed
OFCpost,0.123919955363,0.178784595203,OFCpost
dmPFC,0.100860458132,0.142200973072,dmPFC
dlPFC,0.105505605499,0.151985027754,dlPFC
MFG,0.0990108269493,0.146026168967,MFG
IFG,0.10631592367,0.154158427741,IFG
