,Simple Fractional Model_adjr2,Simple Fractional Model_tval,Simple Fractional Model_bic,ROI
rACC,0.0239503841386,66.2457531512,3235953.81611,rACC
dACC,0.0268250174373,70.1293617549,3169164.6485,dACC
vlPFC,0.0144416961477,48.4732528643,3387033.85767,vlPFC
vmPFC,0.0183235616228,57.5954925758,3346779.2962,vmPFC
OFCant,0.0174586900757,55.9916314158,3333847.91782,OFCant
OFClat,0.011052528848,43.1006828145,3206359.5049,OFClat
OFCmed,0.0236894353117,65.590592537,3096331.69047,OFCmed
OFCpost,0.0209728638733,61.2440297477,3292454.6436,OFCpost
dmPFC,0.0144090247619,49.2955905859,3764315.02244,dmPFC
dlPFC,0.0152368485463,50.5908037549,3964479.29952,dlPFC
MFG,0.0135400514049,47.975602598,3914484.73011,MFG
IFG,0.0157774482105,52.8822603394,3647067.9902,IFG
