,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,ROI
rACC,0.0266150048645,66.9908539887,2333086.2314,rACC
dACC,0.0321608880608,74.646610048,2315335.55996,dACC
vlPFC,0.0245380245069,64.7792811032,2492935.50485,vlPFC
vmPFC,0.026475177081,68.957187251,2496807.70477,vmPFC
OFCant,0.022045067149,62.9098036332,2528605.45388,OFCant
OFClat,0.016576660537,52.7849342132,2376732.9649,OFClat
OFCmed,0.0210279285009,59.9881685097,2318490.57539,OFCmed
OFCpost,0.0231856009877,61.3458656758,2444078.86836,OFCpost
dmPFC,0.0190544161627,57.6641329606,2796870.22728,dmPFC
dlPFC,0.0183666389986,56.7527172292,2983933.24256,dlPFC
MFG,0.0199970374918,58.9127053562,2903789.98295,MFG
IFG,0.0222735383406,61.2632214239,2654308.88043,IFG
