,MC_adjr2,MC_tval,MC_bic,MC by day_adjr2,MC by day_tval,MC by day_bic,RW Update_adjr2,RW Update_tval,RW Update_bic,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,ROI
rACC,0.0230454658772,60.9006791845,2333850.13069,0.0240015892084,62.585640856,2333645.78952,0.0250369168546,64.3719544688,2333435.54363,0.0232456119981,61.2652627792,2333818.62091,rACC
dACC,0.027532410354,67.4711114013,2316331.19995,0.0279461544349,68.1403950975,2316242.39181,0.0311196954186,73.0950938356,2315571.19577,0.0289879950093,69.8070683581,2316029.84687,dACC
vlPFC,0.0216041463674,59.6489153496,2493562.2387,0.0229478870752,62.0475017192,2493275.42296,0.0226196240996,61.4778682539,2493356.77426,0.0212460499696,59.0030181588,2493649.85496,vlPFC
vmPFC,0.0232004711458,63.5573408209,2497508.51364,0.023015321182,63.2393991764,2497548.06676,0.023391238727,63.8913785866,2497479.00117,0.0204523709183,58.6835162343,2498106.06322,vmPFC
OFCant,0.0194856405659,58.3316541015,2529150.91007,0.0190331124277,57.4868998411,2529247.20317,0.0186399175202,56.7522880534,2529342.08331,0.015817054527,51.1177533429,2529941.51715,OFCant
OFClat,0.014568235279,48.5308570708,2377158.73561,0.0148642045564,49.1797546273,2377096.04695,0.0139547899589,47.1694849395,2377299.85689,0.0121558435562,42.9054064408,2377680.24703,OFClat
OFCmed,0.0179621869593,54.1836407211,2319143.08937,0.0185061546201,55.2553426005,2319027.45981,0.0192145696189,56.6313172192,2318888.02663,0.0172386791758,52.7359884404,2319308.03261,OFCmed
OFCpost,0.0196397210569,54.7257169143,2444835.05436,0.0208852182161,57.1329664559,2444569.75465,0.0221918164248,59.568546486,2444302.32559,0.0211839810331,57.705156748,2444517.31444,OFCpost
dmPFC,0.0162760106431,52.2144923885,2797460.48288,0.0164142181004,52.4981865021,2797431.16096,0.0164696703202,52.621232743,2797430.6437,0.0141713761874,47.7076752035,2797917.73979,dmPFC
dlPFC,0.0156886202346,51.4231007223,2984501.80255,0.0158023883205,51.6600809824,2984477.68036,0.0158323233517,51.7320547968,2984482.58136,0.0136292938926,46.9482090356,2984949.20776,dlPFC
MFG,0.0173382221898,53.8207074475,2904355.40928,0.0177827281263,54.7030259029,2904260.98679,0.0174978662253,54.148518803,2904332.75099,0.0154083323635,49.8292991445,2904776.11274,MFG
IFG,0.0198700685093,56.852792138,2654821.25997,0.0212298731757,59.3856703208,2654531.52692,0.02102855675,59.0257145095,2654585.69529,0.0198258898122,56.777669816,2654841.91494,IFG
