,Divide Mean,Running Average,ROI
rACC,0.142121722772,0.109095812917,rACC
dACC,0.158201921253,0.121331176378,dACC
vlPFC,0.137913257848,0.108077919276,vlPFC
vmPFC,0.145816337452,0.115030396783,vmPFC
OFCant,0.13426853306,0.107229364898,OFCant
OFClat,0.113039627277,0.0883121201269,OFClat
OFCmed,0.127894636072,0.0962000137448,OFCmed
OFCpost,0.130959006969,0.0952821251605,OFCpost
dmPFC,0.122527650182,0.092700185358,dmPFC
dlPFC,0.120757097696,0.092180909854,dlPFC
MFG,0.125737437885,0.0973924676072,MFG
IFG,0.130374927788,0.103305636446,IFG
