,MC,MC by day,RW Update,RW Update by day,ROI
rACC,70.0549675473,73.4493271104,114.554502902,121.754163241,rACC
dACC,75.0419024539,75.1718434085,125.340397226,131.554677146,dACC
vlPFC,71.7858494196,74.3116142624,118.109886477,124.218851499,vlPFC
vmPFC,67.7993185418,70.9875735701,110.950243848,117.497628623,vmPFC
OFCant,66.1416958082,67.5151183379,113.826508507,119.811362343,OFCant
OFClat,58.0095451333,61.3111650456,101.838933817,109.762411003,OFClat
OFCmed,78.1662986117,79.0117847158,124.264298765,132.469099293,OFCmed
OFCpost,74.8734667212,76.1875985727,122.949414308,129.649986573,OFCpost
dmPFC,51.5350489968,55.6688016672,100.354539354,106.989219711,dmPFC
dlPFC,56.5197490734,59.9956632898,113.717703818,120.759143571,dlPFC
MFG,58.6839819238,60.9475376409,110.33392987,117.098236568,MFG
IFG,66.9950012044,68.3552116332,113.726612246,118.96072913,IFG
