,Absolute,Relative,WTP - Ref,Subtract Mean,Divide Mean,Subtract and Divide Mean,ROI
rACC,0.0578159798754,0.114129280608,0.0582462542224,0.0637321847154,0.141738665553,0.14283899672,rACC
dACC,0.0613716365188,0.120417337738,0.0612314925547,0.0671016024009,0.150531490517,0.151282602926,dACC
vlPFC,0.0621427413971,0.11859006257,0.0622292787699,0.0688744138865,0.1473142969,0.147865452973,vlPFC
vmPFC,0.0564092049003,0.10935380413,0.0530720109823,0.0580254306628,0.138178098007,0.139055698764,vmPFC
OFCant,0.054193494278,0.109916461466,0.0538258159095,0.0617766454346,0.137664685865,0.138469871156,OFCant
OFClat,0.0531789649209,0.0988218993179,0.0506395405823,0.0537577449302,0.124170155153,0.124636546361,OFClat
OFCmed,0.0610581672081,0.117985041905,0.056068093816,0.0620090102244,0.150809453203,0.151421200178,OFCmed
OFCpost,0.059909461135,0.117710135802,0.0567827970113,0.0632339914671,0.14932509418,0.150415996395,OFCpost
dmPFC,0.0445715922092,0.0989984563226,0.0493426618894,0.0551310968783,0.122733128764,0.123161104555,dmPFC
dlPFC,0.0407798615187,0.102255253456,0.0480806572942,0.0558158036339,0.126872358154,0.128633165293,dlPFC
MFG,0.0458189551437,0.106361057849,0.0514438815562,0.059697386274,0.131511861127,0.132745843256,MFG
IFG,0.0556267659047,0.111311145341,0.0551810313177,0.0616989167191,0.140322329675,0.140510019948,IFG
