,Relative,Absolute
rACC,0.131416244711,0.101690551762
dACC,0.164571351639,0.122169745687
vlPFC,0.138631344379,0.10261967875
vmPFC,0.12697254624,0.0949229579239
OFCant,0.135660072692,0.100714573531
OFClat,0.12768172732,0.0992561771139
OFCmed,0.154911799575,0.113094402194
OFCpost,0.151767085836,0.118221880805
dmPFC,0.116017377117,0.0873170584513
dlPFC,0.130875215674,0.0970975953375
MFG,0.137109022659,0.100412856967
IFG,0.147055054163,0.108035888059
V1,0.157808120647,0.120773200733
Fusiform,0.160670010086,0.119804396801
