,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,Advanced Fractional Model_corr,ROI
rACC,0.03333624238449884,36.030518012993824,3215704.0630787704,0.08013369038978087,rACC
dACC,0.046344969201826736,40.87712792717958,3027140.570789472,0.09083459949485508,dACC
vlPFC,0.0306722541163863,37.29926766331172,3348699.7486422276,0.08036172435845274,vlPFC
vmPFC,0.023990163279311583,27.993281608481993,3495602.2695022826,0.06215627378842092,vmPFC
OFCant,0.015591656363670658,15.99292693526603,3579335.555773911,0.036764388715135154,OFCant
OFClat,0.017765509026352988,20.774221234805825,3350164.206759782,0.045727863276901294,OFClat
OFCmed,0.021868409616646045,19.834009349492213,3326396.824483242,0.04628819569120815,OFCmed
OFCpost,0.029852712470926357,33.245950601001475,3290447.0991221336,0.07201591286209719,OFCpost
dmPFC,0.02060908288443719,32.27113789620704,3891764.1965649854,0.06964577220726592,dmPFC
dlPFC,0.0247611531261549,35.1467763630735,3952090.4958538986,0.07510488486787524,dlPFC
MFG,0.026530830172509567,32.78158079627885,3843701.479267364,0.07150340085958452,MFG
IFG,0.029724898573259995,33.74014995058292,3550009.694838513,0.07519793868960965,IFG
