,Divisive,RW Update,MC,ROI
rACC,0.169077487006,0.111514849196,0.0532997024736,rACC
dACC,0.199127582551,0.147421147766,0.0648210254791,dACC
vlPFC,0.163958370194,0.11610037613,0.0493321968224,vlPFC
vmPFC,0.147227003869,0.10323291412,0.0394478167562,vmPFC
OFCant,0.122241001561,0.0964681378539,0.0243232256022,OFCant
OFClat,0.130137658605,0.106019042622,0.0274949457816,OFClat
OFCmed,0.144569860104,0.10206587529,0.0298342265351,OFCmed
OFCpost,0.164817031461,0.117855037629,0.0442455867908,OFCpost
dmPFC,0.133515234298,0.0791726570025,0.0386493505487,dmPFC
dlPFC,0.145719728873,0.10456360415,0.0495518143733,dlPFC
MFG,0.153054298424,0.104610220554,0.0456417797254,MFG
IFG,0.159848733412,0.106223929847,0.0489623780931,IFG
