,Weighted RW Update by day_adjr2,Weighted RW Update by day_tval,Weighted RW Update by day_bic,ROI
rACC,0.0335145355839,36.7901647217,3215674.13712,rACC
dACC,0.0430701527903,26.1293191814,3028149.90021,dACC
vlPFC,0.0289585666282,29.7169874766,3349231.03207,vlPFC
vmPFC,0.0264047174874,38.7430365756,3494912.8343,vmPFC
OFCant,0.0182026222925,31.9921288921,3578594.66183,OFCant
OFClat,0.0193100383929,29.7880085859,3349734.62314,OFClat
OFCmed,0.0230316328745,27.1731573986,3326077.64241,OFCmed
OFCpost,0.0290457334221,29.4497595034,3290709.43415,OFCpost
dmPFC,0.0245301025693,46.9464844969,3890633.2889,dmPFC
dlPFC,0.0287556148824,49.2495844481,3950932.91241,dlPFC
MFG,0.030217940973,46.6312459306,3842632.93321,MFG
IFG,0.0301823239991,35.72994121,3549897.17847,IFG
