,value,choice,choice_prob
rACC,0.143083765039,-0.0391212992379,-0.00146764561045
dACC,0.144436777773,-0.0403171597677,0.000599904729511
vlPFC,0.14236689626,-0.0373780331996,4.63957478337e-05
vmPFC,0.146594625403,-0.03230029798,0.00441914963602
OFCant,0.137582278875,-0.0399349220559,-0.00293016621754
OFClat,0.132727346329,-0.0358638920368,0.00042113863435
OFCmed,0.143832026324,-0.0414435651875,-0.00309886500221
OFCpost,0.153437492203,-0.0418143346573,0.000264622299534
dmPFC,0.139462690406,-0.0324907563461,0.00218799166624
dlPFC,0.14184798547,-0.0352104109321,0.000997186335441
MFG,0.14094111755,-0.0326553186148,0.00425977655576
IFG,0.14693089698,-0.0335811727202,0.00494977365764
