Day,fMRI Run,Trial Categ,Stimulus Value,Item 1 Value,Item 2 Value
1,1,1,3,0,3
1,1,1,8,15,0
1,1,1,5,3,0
1,1,0,15,15,-1
1,1,0,16,16,-1
1,1,1,0,0,0
1,1,1,7,0,15
1,1,1,7,0,4
1,1,1,9,3,3
1,1,1,2,2,0
1,1,0,3,3,-1
1,1,1,9,15,2
1,1,1,4,3,0
1,1,0,4,4,-1
1,1,1,6,3,3
1,1,1,3,5,0
1,1,0,3,3,-1
1,1,0,5,5,-1
1,1,1,0,0,0
1,1,1,2,2,2
1,1,1,2,0,2
1,1,1,3,0,5
1,1,1,5,3,0
1,1,0,10,10,-1
1,1,1,11,8,5
1,1,1,0,2,0
1,1,1,0,0,0
1,1,1,0,0,0
1,1,0,0,0,-1
1,1,1,0,0,0
1,1,1,3,3,0
1,1,0,2,2,-1
1,1,0,8,8,-1
1,1,1,2,2,0
1,1,1,11,10,5
1,1,0,2,2,-1
1,1,1,2,0,2
1,1,1,10,0,10
1,1,0,0,0,-1
1,1,1,0,0,0
1,1,0,3,3,-1
1,1,1,7,0,4
1,1,1,0,0,0
1,1,1,3,3,0
1,1,0,0,0,-1
1,1,1,0,0,0
1,1,0,0,0,-1
1,1,1,7,15,0
1,1,1,0,0,2
1,1,1,12,2,10
1,1,0,2,2,-1
1,1,1,2,2,0
1,1,0,0,0,-1
1,1,1,16,16,0
1,1,1,15,15,10
1,1,0,0,0,-1
1,1,1,5,0,4
1,1,1,2,2,2
1,1,0,3,3,-1
1,1,1,8,0,4
1,1,0,0,0,-1
1,2,0,4,4,-1
1,2,0,3,3,-1
1,2,1,0,0,0
1,2,0,2,2,-1
1,2,1,0,3,3
1,2,1,17,0,16
1,2,1,3,0,3
1,2,1,0,0,0
1,2,1,2,0,2
1,2,0,15,15,-1
1,2,1,6,5,5
1,2,1,9,15,2
1,2,1,17,16,2
1,2,1,2,3,0
1,2,1,0,0,3
1,2,1,12,10,0
1,2,1,17,16,0
1,2,0,2,2,-1
1,2,0,0,0,-1
1,2,1,2,2,0
1,2,0,0,0,-1
1,2,0,0,0,-1
1,2,1,4,2,2
1,2,1,16,0,16
1,2,1,10,16,0
1,2,1,0,2,0
1,2,0,5,5,-1
1,2,1,12,3,4
1,2,0,0,0,-1
1,2,1,6,3,3
1,2,1,8,8,0
1,2,0,3,3,-1
1,2,1,6,2,3
1,2,1,11,5,15
1,2,0,0,0,-1
1,2,1,3,2,2
1,2,1,17,8,10
1,2,1,0,0,0
1,2,0,3,3,-1
1,2,1,2,2,0
1,2,1,4,5,2
1,2,0,0,0,-1
1,2,0,8,8,-1
1,2,1,0,0,0
1,2,0,10,10,-1
1,2,1,5,5,2
1,2,1,9,8,2
1,2,1,0,0,0
1,2,1,18,15,8
1,2,0,0,0,-1
1,2,1,2,2,0
1,2,1,20,16,10
1,2,0,16,16,-1
1,2,0,2,2,-1
1,2,1,8,10,3
1,2,1,2,2,0
1,2,1,9,8,0
1,2,0,3,3,-1
1,2,1,15,3,16
1,2,1,11,4,4
1,2,1,10,2,10
1,2,1,9,8,0
1,3,1,5,2,3
1,3,1,5,3,3
1,3,1,6,3,5
1,3,0,0,0,-1
1,3,1,14,3,8
1,3,1,0,0,3
1,3,0,4,4,-1
1,3,0,8,8,-1
1,3,1,3,0,5
1,3,1,12,15,3
1,3,0,2,2,-1
1,3,1,10,3,3
1,3,1,2,2,3
1,3,1,0,0,0
1,3,1,5,3,0
1,3,1,3,0,5
1,3,0,0,0,-1
1,3,1,12,10,3
1,3,1,0,0,0
1,3,1,13,3,8
1,3,1,20,3,16
1,3,0,15,15,-1
1,3,0,3,3,-1
1,3,1,8,4,2
1,3,1,0,3,0
1,3,1,10,2,8
1,3,0,0,0,-1
1,3,0,3,3,-1
1,3,1,10,3,10
1,3,1,0,0,0
1,3,1,8,15,0
1,3,1,7,4,0
1,3,0,10,10,-1
1,3,1,9,2,8
1,3,1,19,3,16
1,3,0,2,2,-1
1,3,1,13,15,4
1,3,1,8,4,3
1,3,0,0,0,-1
1,3,1,10,0,10
1,3,0,0,0,-1
1,3,1,0,0,0
1,3,0,3,3,-1
1,3,1,0,3,2
1,3,1,15,10,10
1,3,0,3,3,-1
1,3,1,0,0,0
1,3,1,18,16,4
1,3,1,10,0,10
1,3,0,16,16,-1
1,3,1,0,0,0
1,3,1,4,0,3
1,3,1,0,0,3
1,3,0,0,0,-1
1,3,1,2,5,0
1,3,1,8,5,4
1,3,0,0,0,-1
1,3,0,2,2,-1
1,3,1,3,3,3
1,3,1,5,3,0
1,3,1,3,3,0
1,4,1,8,0,8
1,4,0,0,0,-1
1,4,0,0,0,-1
1,4,1,11,3,4
1,4,1,5,3,5
1,4,1,9,8,0
1,4,1,0,0,0
1,4,1,9,8,3
1,4,1,2,2,0
1,4,0,0,0,-1
1,4,0,8,8,-1
1,4,1,17,5,16
1,4,0,3,3,-1
1,4,0,0,0,-1
1,4,1,20,8,16
1,4,1,8,4,0
1,4,0,2,2,-1
1,4,1,2,2,3
1,4,1,5,0,5
1,4,1,1,10,2
1,4,0,3,3,-1
1,4,1,9,0,15
1,4,1,2,2,0
1,4,1,3,3,0
1,4,1,3,2,2
1,4,0,2,2,-1
1,4,0,16,16,-1
1,4,0,5,5,-1
1,4,1,20,16,15
1,4,1,15,10,4
1,4,1,3,2,2
1,4,1,9,0,8
1,4,1,5,0,3
1,4,1,0,0,2
1,4,1,7,2,3
1,4,0,15,15,-1
1,4,0,3,3,-1
1,4,1,9,0,10
1,4,1,9,0,15
1,4,0,0,0,-1
1,4,0,0,0,-1
1,4,1,0,0,0
1,4,1,4,5,2
1,4,1,4,3,3
1,4,0,3,3,-1
1,4,1,15,15,3
1,4,0,4,4,-1
1,4,1,4,2,3
1,4,1,4,3,0
1,4,1,16,16,0
1,4,1,3,0,0
1,4,1,9,15,2
1,4,1,5,3,5
1,4,1,13,15,15
1,4,1,5,3,2
1,4,1,2,2,0
1,4,0,0,0,-1
1,4,1,5,3,3
1,4,1,0,0,0
